72,20;57,12;40,17;46,8;22,16;80,8;56,9;11,3;74,10;48,2;86,7 | 66
65,12;92,2;14,2;12,10;67,16;85,15;57,17;39,10;95,1;13,20 | 57
28,16;66,7;89,6;58,14;41,7;82,12;90,2;27,13;32,18;20,5;18,9 | 73
86,12;14,5;70,15;37,5;43,8;44,4;33,3;57,19;87,3;71,18;14,9;45,4;77,14;92,19 | 74
88,9;62,1;64,5;88,20;64,16;20,15;31,4;43,17;66,3;62,2;39,7;54,18;61,14 | 46
83,8;50,17;46,5;79,11;42,8;16,20;54,9;72,1;71,20;53,2 | 69
95,16;83,8;92,8;41,8;67,14;74,12;31,5;74,5;43,11;28,2;19,12;21,12 | 91
38,3;76,12;68,16;14,8;19,12;78,10;11,12;92,8;42,9;24,12;22,18;80,8;24,7 | 65
70,11;68,6;71,8;48,2;86,3;70,3;99,16;20,17;89,16 | 87
55,18;64,16;62,2;84,4;31,14;12,8;86,2;63,17;79,12;43,2;88,20 | 20
53,12;57,1;60,19;56,20;100,20;25,20;13,18;39,7;22,8;40,12 | 86
29,14;28,1;79,2;19,15;70,2;37,10;57,12;89,9;90,1 | 97
14,3;56,8;99,14;70,17;85,6;49,13 | 82
53,12;35,18;32,4;45,13;90,7;58,19;45,2;84,14;36,8;78,2;82,3;55,14;26,15 | 58
48,5;99,6;86,12;51,19;72,5;82,5;97,20;25,16;71,8;36,6;16,6 | 67
68,10;90,1;48,20;76,13;64,5;82,16;13,4;65,19;79,3;11,2;21,6;72,1;36,18;20,3 | 79
48,11;63,9;93,9;13,8;26,20;91,5;31,19;18,18 | 36
58,20;41,1;29,5;45,3;59,11;69,18 | 45
28,6;60,17;35,20;28,13;86,6;30,15;41,12 | 72
80,18;46,16;91,15;67,9;63,15;98,18;96,9;69,1;93,1;25,19;69,18;45,16 | 43
69,12;47,11;87,14;59,1;65,15;62,16;48,6;56,14;93,3;79,15;42,3;71,13;80,7;44,15;25,14 | 46
77,2;63,20;33,6;97,7;30,2;74,7;93,14;10,19;52,20;14,18;13,9 | 61
84,10;69,20;71,13;57,8;71,19;37,17;44,3;15,9;49,10;77,19;23,9;72,17;63,13;21,6;43,2 | 45
92,15;27,13;65,5;75,7;95,16;81,9;44,5;17,3;81,2 | 89
26,7;76,15;48,8;72,11;75,1 | 24
57,10;23,7;96,3;18,19;49,8;79,2;93,17;58,20;46,2;56,11;60,16 | 90
30,17;84,12;20,3;41,18;58,6 | 20
32,2;66,16;47,14;95,11;15,6;52,14;59,19;14,16;100,7;95,17;61,2;95,1;61,1;36,19 | 65
